model,split,rows,pr_auc,train_seconds
regresion_logistica,valid,88581,0.3706770427264061,221.45560929600003
regresion_logistica,holdout,88581,0.16976563944494344,221.45560929600003
arbol_decision,valid,88581,0.35855152192349343,19.963568664000036
arbol_decision,holdout,88581,0.3806205717234958,19.963568664000036
