scenario,policy_type,split,review_threshold,escalate_threshold,rows,fraud_total,fraud_rate,cost_total,cost_per_txn,fraud_detection_rate,fraud_miss_rate,legit_escalation_rate,review_rate,escalate_rate,approve_rate,known_review_threshold,known_escalate_threshold,unknown_review_threshold,unknown_escalate_threshold
base,global,valid,0.41488003057125583,0.6598987881388723,88581,3042,0.03434145019812375,100672.0,1.1364965398900442,0.7455621301775148,0.25443786982248523,0.017009785010346157,0.049231776566080764,0.03606868290039625,0.914699540533523,,,,
base,global,holdout,0.41488003057125583,0.6598987881388723,88581,3083,0.03480430340592226,122324.0,1.3809281900181753,0.6879662666234188,0.31203373337658125,0.020058948747339118,0.05065420349736399,0.03779591560266874,0.9115498808999672,,,,
friction_high,global,valid,0.5042639737693224,0.8401528518885477,88581,3042,0.03434145019812375,111339.0,1.256917397636062,0.6900065746219592,0.30999342537804075,0.004337202913291013,0.043824296406678634,0.018536706517198947,0.9376389970761224,,,,
friction_high,global,holdout,0.5042639737693224,0.8401528518885477,88581,3083,0.03480430340592226,133475.0,1.5068129734367415,0.6312033733376581,0.36879662666234186,0.005508900793001006,0.04515641051692801,0.019586593061717523,0.9352569964213545,,,,
fraud_high,global,valid,0.3250713065909127,0.46890608120146593,88581,3042,0.03434145019812375,170508.0,1.9248823111050903,0.8017751479289941,0.19822485207100593,0.04828207016682449,0.048588297716214535,0.07112134656416161,0.8802903557196239,,,,
fraud_high,global,holdout,0.3250713065909127,0.46890608120146593,88581,3083,0.03480430340592226,206902.0,2.33573791219336,0.7515407071034707,0.24845929289652935,0.052480759783854594,0.04985267721068852,0.07344690170578341,0.8767004210835281,,,,
capacity_tight,global,valid,0.489223872828562,0.6605119385208984,88581,3042,0.03434145019812375,111584.0,1.2596832277802237,0.6982248520710059,0.30177514792899407,0.01692795099311425,0.029938700172723272,0.03594450277147469,0.9341167970558021,,,,
capacity_tight,global,holdout,0.489223872828562,0.6605119385208984,88581,3083,0.03480430340592226,133754.0,1.5099626330702973,0.6393123580927668,0.36068764190723324,0.019965379307118294,0.03095471940935415,0.03770560278163489,0.931339677809011,,,,
capacity_loose,global,valid,0.32157767579485796,0.7375332207367395,88581,3042,0.03434145019812375,85060.0,0.9602510696424741,0.8037475345167653,0.19625246548323472,0.010205871006207694,0.0938688883620641,0.027308339260112214,0.8788227723778237,,,,
capacity_loose,global,holdout,0.32157767579485796,0.7375332207367395,88581,3083,0.03480430340592226,103594.0,1.1694832977726601,0.7534868634446967,0.24651313655530327,0.012316077569065944,0.09631862363260744,0.028719477088766213,0.8749618992786263,,,,
base,segmented_uid,valid,,,88581,3042,0.03434145019812375,99472.0,1.1229496167349657,0.7284681130834977,0.2715318869165023,0.010042202971743883,0.04674817398764972,0.027985685417866134,0.9252661405944842,0.31135336292894505,0.6438698456170229,0.5196630495328375,0.7610667896420051
base,segmented_uid,holdout,,,88581,3083,0.03480430340592226,121572.0,1.372438784840993,0.6655854686993189,0.33441453130068116,0.011707876207630587,0.047764193224280604,0.028155021957304613,0.9240807848184148,0.31135336292894505,0.6438698456170229,0.5196630495328375,0.7610667896420051
friction_high,segmented_uid,valid,,,88581,3042,0.03434145019812375,109466.0,1.2357729084115103,0.6962524654832347,0.3037475345167653,0.003998176270473118,0.04806899899526987,0.015183843036317044,0.9367471579684131,0.3591280178686204,0.9968809299595818,0.5620165730110469,0.8358684404762468
friction_high,segmented_uid,holdout,,,88581,3083,0.03480430340592226,131488.0,1.4843815265124576,0.6363931235809277,0.36360687641907236,0.0052398886523661375,0.04621758616407582,0.017351350741129586,0.9364310630947946,0.3591280178686204,0.9968809299595818,0.5620165730110469,0.8358684404762468
fraud_high,segmented_uid,valid,,,88581,3042,0.03434145019812375,168278.0,1.899707612241903,0.8037475345167653,0.19625246548323472,0.04734682425560271,0.047290050913852855,0.06982309976179993,0.8828868493243472,0.27264448753555043,0.5278809287525535,0.3551126724369377,0.4601341698407717
fraud_high,segmented_uid,holdout,,,88581,3083,0.03480430340592226,207702.0,2.3447691942967452,0.7489458319818358,0.2510541680181641,0.05193103932255725,0.04798997527686524,0.07265666452173716,0.8793533602013975,0.27264448753555043,0.5278809287525535,0.3551126724369377,0.4601341698407717
capacity_tight,segmented_uid,valid,,,88581,3042,0.03434145019812375,109022.0,1.2307605468441314,0.7274819197896121,0.2725180802103879,0.024760635499596676,0.027895372596832276,0.045822467572052696,0.9262821598311151,0.32326373397619185,0.4994874407173199,0.5169411641215083,0.6235240335393114
capacity_tight,segmented_uid,holdout,,,88581,3083,0.03480430340592226,131788.0,1.4877682573012272,0.6649367499189102,0.33506325008108984,0.027439238344756603,0.028380804009889255,0.04661270475609894,0.9250064912340118,0.32326373397619185,0.4994874407173199,0.5169411641215083,0.6235240335393114
capacity_loose,segmented_uid,valid,,,88581,3042,0.03434145019812375,85516.0,0.9653989004414039,0.7850098619329389,0.21499013806706113,0.004617776686657548,0.09124981655208228,0.0192253417775821,0.8895248416703356,0.2196578137326137,0.8148160311414031,0.42081309349763524,0.8358684404762468
capacity_loose,segmented_uid,holdout,,,88581,3083,0.03480430340592226,105196.0,1.1875684401846898,0.7278624716185533,0.27213752838144667,0.0057662167536082715,0.09237872681500547,0.02017362639843759,0.887447646786557,0.2196578137326137,0.8148160311414031,0.42081309349763524,0.8358684404762468
