week,rows,psi_score,pr_auc_matured,fraud_rate
17,17747,0.0,0.7321468073921202,0.034484701639713754
18,19622,0.005003704245593625,0.6083806823118187,0.03531750076444807
19,18630,0.0016965524380158756,0.5999185089236886,0.0345679012345679
20,18460,0.001383799274824521,0.5137860778041695,0.03591549295774648
21,20378,0.001765168023810389,0.5575686206478311,0.031651781332809895
22,20740,0.0016339989866196037,0.5203575655310343,0.02849566055930569
23,20944,0.009249264271001227,0.4725565999325094,0.032515278838808254
24,20206,0.010641193605918467,0.5539411805387032,0.03667227556171434
25,17681,0.004630100233584543,0.577311718662415,0.04162660483004355
26,2754,0.006722739677061051,0.5927727199797646,0.043209876543209874
