week,start,end,quality_floor,matured_blocks,last_two_breaches,last_matured_pr_auc,previous_matured_pr_auc,decision,candidate_promoted,candidate_train_last_dt,calibration_end,gate_end,incumbent_gate_pr_auc,candidate_gate_pr_auc,incumbent_gate_worst_cost,candidate_gate_worst_cost,observed_pr_auc_after_action,relative_month
0,13151845.999999998,13756645.999999998,0.4896781375722198,0,0,,,keep,False,,,,,,,,0.5472339547439494,6
1,13756645.999999998,14361445.999999998,0.4896781375722198,0,0,,,keep,False,,,,,,,,0.43065051608609106,6
2,14361445.999999998,14966245.999999998,0.4896781375722198,1,0,0.5472339547439494,,keep,False,,,,,,,,0.4966862632610487,6
3,14966245.999999998,15571045.999999998,0.4896781375722198,2,1,0.43065051608609106,0.5472339547439494,keep,False,,,,,,,,0.5691545982579802,6
4,15571045.999999998,15811132.0,0.4896781375722198,3,1,0.4966862632610487,0.43065051608609106,keep,False,,,,,,,,0.5781819686148969,6
