model,strategy,window_days,block,eval_start,available_before,train_last_dt,train_rows,trigger
xgboost,periodic,30,0,13151845.999999998,12547045.999999998,12547018.0,86772,False
xgboost,periodic,30,1,13756645.999999998,13151845.999999998,13151840.0,83800,False
xgboost,periodic,30,2,14361445.999999998,13756645.999999998,13756312.0,83420,False
xgboost,periodic,30,3,14966245.999999998,14361445.999999998,14361439.0,85334,False
xgboost,periodic,30,4,15571045.999999998,14966245.999999998,14966157.0,87250,False
