relative_day,scenario,review_count,review_capacity,direct_escalations,expected_review_handoffs,expected_total_escalations
178,severo_60_90,159,159,101,8.4,109.4
179,optimista_100_100,159,159,159,9.0,168.0
179,favorable_90_98,159,159,159,8.1,167.1
179,adverso_80_95,159,159,159,7.2,166.2
179,severo_60_90,159,159,159,5.3999999999999995,164.4
180,optimista_100_100,159,159,180,7.0,187.0
180,favorable_90_98,159,159,180,6.3,186.3
180,adverso_80_95,159,159,180,5.6000000000000005,185.6
180,severo_60_90,159,159,180,4.2,184.2
181,optimista_100_100,159,159,172,17.0,189.0
181,favorable_90_98,159,159,172,15.3,187.3
181,adverso_80_95,159,159,172,13.600000000000001,185.6
181,severo_60_90,159,159,172,10.2,182.2
