segment,rows,fraud_rate,pr_auc,roc_auc,thr05_threshold,thr05_precision,thr05_recall,thr05_f1,thr05_fpr,thr05_tp,thr05_fp,thr05_tn,thr05_fn,thr05_flagged_rate,top5_threshold,top5_precision,top5_recall,top5_f1,top5_fpr,top5_tp,top5_fp,top5_tn,top5_fn,top5_flagged_rate
valid_global,88581,0.03434145019812375,0.5898712687027042,0.9226909477503675,0.5,0.35758513931888547,0.6834319526627219,0.4695121951219512,0.04366429348016694,2079,3735,81804,963,0.06563484268635486,0.5794812926343867,0.4286681715575621,0.6242603550295858,0.5082976445396146,0.029588842516279124,1899,2531,83008,1143,0.05001072464749777
valid_uid_known,40835,0.023313334149626545,0.6078479200646526,0.9525005862736741,0.5,0.5125977410947002,0.6197478991596639,0.5611031859248692,0.014066143469648722,590,561,39322,362,0.028186604628382517,0.359023566338537,0.3501469147894221,0.7510504201680672,0.47762191048764197,0.03327232154050598,715,1327,38556,237,0.050006122199093915
valid_uid_unknown,47746,0.043773300381183766,0.605225933964442,0.901385098087382,0.5,0.31932232468368005,0.7124401913875598,0.4409891899896342,0.0695198878570177,1489,3174,42482,601,0.09766263142462196,0.695597350531597,0.5221943048576214,0.5966507177033493,0.556945064761054,0.02499123882950762,1247,1141,44515,843,0.050014660914003264
holdout_global,88581,0.03480430340592226,0.5303255532102064,0.9003535729045361,0.5,0.32024932614555257,0.6166072007784625,0.4215544960638652,0.047194086411378046,1901,4035,81463,1182,0.06701211320712117,0.5857747625259737,0.3963882618510158,0.5695750891988323,0.46745640889125517,0.03127558539381038,1756,2674,82824,1327,0.05001072464749777
holdout_uid_known,39512,0.01933589795505163,0.44748547437569863,0.9004616417966108,0.5,0.3895216400911162,0.4476439790575916,0.4165651644336175,0.013832972024362547,342,536,38212,422,0.02222109738813525,0.3298036757595926,0.25708502024291496,0.6649214659685864,0.3708029197080292,0.03788582636523175,508,1468,37280,256,0.05001012350678275
holdout_uid_unknown,49069,0.04725998084330229,0.5636041405164809,0.8881198561983892,0.5,0.308224594701463,0.6722725312634756,0.4226650399891555,0.07484491978609625,1559,3499,43251,760,0.10307933725977705,0.7075313316559697,0.5122249388753056,0.5420439844760673,0.5267127592708988,0.02560427807486631,1257,1197,45553,1062,0.05001120870610773
