model,split,window,rows,fraud_rate,pr_auc,roc_auc
lgbm_keep,valid,17,17747,0.034484701639713754,0.6881578695651778,0.9462516044254489
lgbm_keep,valid,18,19622,0.03531750076444807,0.5619375309213976,0.9277581441456977
lgbm_keep,valid,19,18630,0.0345679012345679,0.533363388691829,0.9191687565138655
lgbm_keep,valid,20,18460,0.03591549295774648,0.47693125274719206,0.907011417773311
lgbm_keep,valid,21,14122,0.030448944908653165,0.4481625795181638,0.8980873231015905
lgbm_keep,holdout,21,6256,0.03436700767263427,0.6144568341215249,0.9134060662988955
lgbm_keep,holdout,22,20740,0.02849566055930569,0.4875076439549054,0.8989617031625389
lgbm_keep,holdout,23,20944,0.032515278838808254,0.439740918661553,0.8893798386750211
lgbm_keep,holdout,24,20206,0.03667227556171434,0.5276280166936231,0.9027805539060558
lgbm_keep,holdout,25,17681,0.04162660483004355,0.5060588623932084,0.9016428630992853
lgbm_keep,holdout,26,2754,0.043209876543209874,0.49668038028545647,0.9076491317589653
lgbm_keep_monitor,valid,17,17747,0.034484701639713754,0.7184044363161342,0.951273813678764
lgbm_keep_monitor,valid,18,19622,0.03531750076444807,0.5908642817552421,0.9265422387615846
lgbm_keep_monitor,valid,19,18630,0.0345679012345679,0.5756092716150013,0.9243732012407165
lgbm_keep_monitor,valid,20,18460,0.03591549295774648,0.481375785677283,0.9030253289761667
lgbm_keep_monitor,valid,21,14122,0.030448944908653165,0.4769672493774714,0.9086706547364273
lgbm_keep_monitor,holdout,21,6256,0.03436700767263427,0.6492680463468588,0.9129953072608492
lgbm_keep_monitor,holdout,22,20740,0.02849566055930569,0.4981874936352723,0.9026283796544845
lgbm_keep_monitor,holdout,23,20944,0.032515278838808254,0.4310281952430139,0.888872849198966
lgbm_keep_monitor,holdout,24,20206,0.03667227556171434,0.5437053835384752,0.8902455114252268
lgbm_keep_monitor,holdout,25,17681,0.04162660483004355,0.533516717497901,0.9079149133385506
lgbm_keep_monitor,holdout,26,2754,0.043209876543209874,0.5417408386201931,0.9172962543651237
xgb_keep_monitor,valid,17,17747,0.034484701639713754,0.6746740583857761,0.9417809551600039
xgb_keep_monitor,valid,18,19622,0.03531750076444807,0.5658246852010715,0.923474955436496
xgb_keep_monitor,valid,19,18630,0.0345679012345679,0.5489684376700273,0.9230705144719185
xgb_keep_monitor,valid,20,18460,0.03591549295774648,0.47870846354856567,0.9053813787823816
xgb_keep_monitor,valid,21,14122,0.030448944908653165,0.46335221963516315,0.9032599243149962
xgb_keep_monitor,holdout,21,6256,0.03436700767263427,0.6321063372633845,0.9247525629131169
xgb_keep_monitor,holdout,22,20740,0.02849566055930569,0.4857746027646893,0.9024489213565368
xgb_keep_monitor,holdout,23,20944,0.032515278838808254,0.4497692039947715,0.8999126972238704
xgb_keep_monitor,holdout,24,20206,0.03667227556171434,0.5421452653211059,0.8967576670538803
xgb_keep_monitor,holdout,25,17681,0.04162660483004355,0.5248389215795097,0.9141668377230683
xgb_keep_monitor,holdout,26,2754,0.043209876543209874,0.5323245196131889,0.9097922280866805
cat_keep_monitor,valid,17,17747,0.034484701639713754,0.6696790860046291,0.936649082354467
cat_keep_monitor,valid,18,19622,0.03531750076444807,0.566769713070337,0.9272878670099866
cat_keep_monitor,valid,19,18630,0.0345679012345679,0.5412011632626129,0.9203930524293222
cat_keep_monitor,valid,20,18460,0.03591549295774648,0.45706819376928426,0.9055665575171505
cat_keep_monitor,valid,21,14122,0.030448944908653165,0.4369857176165454,0.8904817955146105
cat_keep_monitor,holdout,21,6256,0.03436700767263427,0.6139778022620214,0.9227418839480603
cat_keep_monitor,holdout,22,20740,0.02849566055930569,0.4672608482886138,0.8980104986043485
cat_keep_monitor,holdout,23,20944,0.032515278838808254,0.44025406781442034,0.8959278005244254
cat_keep_monitor,holdout,24,20206,0.03667227556171434,0.535033855882625,0.8955518278594785
cat_keep_monitor,holdout,25,17681,0.04162660483004355,0.510308538652852,0.9083285758271646
cat_keep_monitor,holdout,26,2754,0.043209876543209874,0.501464617312752,0.9159855213432622
