split,score,brier,mean_score,fraud_rate
valid,pred,0.04403764328659908,0.14034181398851725,0.03434145019812375
valid,pred_iso,0.01998356723484925,0.034341450198123756,0.03434145019812375
holdout,pred,0.04787700980972795,0.14303872807747403,0.03480430340592226
holdout,pred_iso,0.02191578617645987,0.03547829671266653,0.03480430340592226
