segment,rows,fraud_rate,pr_auc,roc_auc,thr05_threshold,thr05_precision,thr05_recall,thr05_f1,thr05_fpr,thr05_tp,thr05_fp,thr05_tn,thr05_fn,thr05_flagged_rate,top5_threshold,top5_precision,top5_recall,top5_f1,top5_fpr,top5_tp,top5_fp,top5_tn,top5_fn,top5_flagged_rate
valid_global,88581,0.03434145019812375,0.5954063477908068,0.9256858445035767,0.5,0.375222816399287,0.6919789612097305,0.48659269533055943,0.04097546148540432,2105,3505,82034,937,0.06333186574999153,0.566564032362874,0.4386004514672686,0.6387245233399079,0.5200749464668094,0.029074457265107143,1943,2487,83052,1099,0.05001072464749777
valid_uid_known,40835,0.023313334149626545,0.648533652481326,0.9568197323810801,0.5,0.5273469387755102,0.6785714285714286,0.5934772622875517,0.01451746358097435,646,579,39304,306,0.029998775560181216,0.3630101890064197,0.36385896180215477,0.7804621848739496,0.49632598530394123,0.03257026803399945,743,1299,38584,209,0.050006122199093915
valid_uid_unknown,47746,0.043773300381183766,0.5941864935079064,0.9011281840986013,0.5,0.3327251995438997,0.6980861244019139,0.45065637065637065,0.06408796215174348,1459,2926,42730,631,0.09184015414903866,0.6712883865349113,0.509212730318258,0.5818181818181818,0.543099598034837,0.0256702295426669,1216,1172,44484,874,0.050014660914003264
holdout_global,88581,0.03480430340592226,0.5436306873675363,0.9050742126226828,0.5,0.3347043701799486,0.6334738890690885,0.4379905808477237,0.04540457086715479,1953,3882,81616,1130,0.06587191384156874,0.579225128359376,0.4051918735891648,0.5822251054168018,0.4778384134167443,0.030819434372733864,1795,2635,82863,1288,0.05001072464749777
holdout_uid_known,39512,0.01933589795505163,0.5159461638618918,0.9020232491648277,0.5,0.44766146993318484,0.5261780104712042,0.48375451263537905,0.012800660679260865,402,496,38252,362,0.022727272727272728,0.3236477713645723,0.2631578947368421,0.680628272251309,0.3795620437956204,0.03757613296170125,520,1456,37292,244,0.05001012350678275
holdout_uid_unknown,49069,0.04725998084330229,0.5631796479504242,0.8933239617851139,0.5,0.3141583957869151,0.6688227684346701,0.4275082690187431,0.07242780748663101,1551,3386,43364,768,0.10061342191607736,0.7032359333425644,0.5167074164629177,0.5467874083656749,0.5313220196941127,0.025368983957219253,1268,1186,45564,1051,0.05001120870610773
