split,rows,mean_pred,mean_pred_iso,fraud_rate
valid,8859,0.008109821477960607,0.0013617081744562655,0.0016931933626820183
valid,8858,0.018391787929127212,0.001476906552094522,0.0013547076089410702
valid,8858,0.028984346332668918,0.0021663761022620597,0.002483630616391962
valid,8858,0.041900610134607136,0.003673192701659501,0.003612553623842854
valid,8858,0.05804733360953442,0.004984825741796539,0.005080153533529013
valid,8858,0.079706249092479,0.0059020395563113325,0.005757507337999549
valid,8857,0.11093525920990793,0.008741059573289911,0.008693688607880772
valid,8859,0.1635852891527475,0.01468408394141291,0.014900101591601761
valid,8858,0.2739860603666495,0.03493722229046494,0.035561074734703095
valid,8858,0.6197803667703422,0.26549013958475026,0.26428087604425377
holdout,8859,0.007813005531506255,0.0013318733384874591,0.0027091093802912294
holdout,8858,0.01854225306882851,0.001476906552094522,0.003160984420862497
holdout,8858,0.029583942070997037,0.0022867125990197403,0.0032738767216075864
holdout,8858,0.04195781796039139,0.0036633775687535623,0.0038383382253330323
holdout,8858,0.05819869171283556,0.004998854568270011,0.0056446150372544595
holdout,8858,0.0807844931024079,0.005936176625760367,0.007112214946940618
holdout,8857,0.11376332474103885,0.009059847031786998,0.010838884498137066
holdout,8859,0.16863861174229522,0.015272269713696397,0.02178575459984197
holdout,8858,0.2814225119914037,0.03654887383976846,0.04097990517046737
holdout,8858,0.6296916997985702,0.27421122882263493,0.24870173854143146
