model,split,segment,rows,fraud_rate,pr_auc,roc_auc,thr05_threshold,thr05_precision,thr05_recall,thr05_f1,thr05_fpr,thr05_flagged_rate,thr05_tp,thr05_fp,thr05_tn,thr05_fn,top5_threshold,top5_precision,top5_recall,top5_f1,top5_fpr,top5_flagged_rate,top5_tp,top5_fp,top5_tn,top5_fn
lgbm_keep,valid,global,88581,0.03434145019812375,0.5474150342070626,0.9209253213749139,0.5,0.28339758075235943,0.7008547008547008,0.40359678182678654,0.06302388384245783,0.08492791907971235,2132,5391,80148,910,0.6436849868828016,0.40270880361173816,0.5864562787639711,0.47751605995717344,0.030933258513660435,0.05001072464749777,1784,2646,82893,1258
lgbm_keep,valid,uid_known,40835,0.023313334149626545,0.5226182194739436,0.9500154680381292,0.5,0.42846153846153845,0.5850840336134454,0.4946714031971581,0.01862949126194118,0.03183543528835558,557,743,39140,395,0.39167461499719364,0.3178256611165524,0.6817226890756303,0.43353373413493657,0.03492716194869995,0.050006122199093915,649,1393,38490,303
lgbm_keep,valid,uid_unknown,47746,0.043773300381183766,0.5842790956835422,0.9028240522216064,0.5,0.2530933633295838,0.7535885167464115,0.37892457596535545,0.10180480112142982,0.1303355254890462,1575,4648,41008,515,0.7539045764780586,0.5054438860971524,0.5775119617224881,0.539079946404645,0.0258673558787454,0.050014660914003264,1207,1181,44475,883
lgbm_keep,holdout,global,88581,0.03480430340592226,0.5002312648387183,0.9000669140621825,0.5,0.24763840727011838,0.6717482971132014,0.36187314345622923,0.07359236473367799,0.09441076528826724,2071,6292,79206,1012,0.6790180611779444,0.381038374717833,0.5475186506649368,0.44935445228271,0.032070925635687385,0.05001072464749777,1688,2742,82756,1395
lgbm_keep,holdout,uid_known,29240,0.016997264021887826,0.4130078473408111,0.9006063308144451,0.5,0.4572072072072072,0.4084507042253521,0.4314558979808714,0.008384650175694952,0.01518467852257182,203,241,28502,294,0.27873467013881226,0.20451436388508892,0.6016096579476862,0.3052577845839714,0.0404620255366524,0.05,299,1163,27580,198
lgbm_keep,holdout,uid_unknown,59341,0.04357863871522219,0.5278289649930081,0.8937822868310303,0.5,0.2358883697436545,0.7223511214230471,0.3556401713469776,0.10661615716676945,0.13344904871842403,1868,6051,50704,718,0.7618862467520592,0.46630727762803237,0.5351894818252126,0.49837954627295644,0.027909435292044753,0.05001600916735478,1384,1584,55171,1202
lgbm_keep_monitor,valid,global,88581,0.03434145019812375,0.5739391455529042,0.9232828089941849,0.5,0.3452266152362584,0.7061143984220908,0.4637305699481865,0.047627398028969245,0.07024079655908153,2148,4074,81465,894,0.5986586658769824,0.42979683972911964,0.6259040105193951,0.5096359743040685,0.029530389646827762,0.05001072464749777,1904,2526,83013,1138
lgbm_keep_monitor,valid,uid_known,40835,0.023313334149626545,0.6273954289888951,0.9578030576621492,0.5,0.48522895125553916,0.6901260504201681,0.5698178664353859,0.01747611764410902,0.03315783029264112,657,697,39186,295,0.37761306494279173,0.3682664054848188,0.7899159663865546,0.5023380093520374,0.03234460797833663,0.050006122199093915,752,1290,38593,200
lgbm_keep_monitor,valid,uid_unknown,47746,0.043773300381183766,0.5740776707294034,0.8967399537879696,0.5,0.3062859490550534,0.7133971291866029,0.42857142857142855,0.07396618188189942,0.1019561848112931,1491,3377,42279,599,0.7049062348609552,0.501675041876047,0.5732057416267943,0.5350602947744528,0.0260644822148239,0.050014660914003264,1198,1190,44466,892
lgbm_keep_monitor,holdout,global,88581,0.03480430340592226,0.5130713734736745,0.8996355059817935,0.5,0.29134657196695174,0.6519623743107363,0.40272490482869167,0.05718262415495099,0.07788351903907158,2010,4889,80609,1073,0.6333291760838862,0.399097065462754,0.5734674018812844,0.4706508718221749,0.031135231233479145,0.05001072464749777,1768,2662,82836,1315
