feature,train_missing_pct,valid_missing_pct,holdout_missing_pct,missing_delta_train_valid,missing_delta_train_holdout,ks_train_valid,ks_train_holdout,train_nunique,valid_nunique,holdout_nunique,gain_importance,split_importance,perm_pr_auc,perm_pr_auc_drop,max_ks,max_missing_delta,gain_rank,perm_rank,is_predictive,is_shifted,recommendation
V177,74.21996332654375,83.21197548006909,79.46399340716407,8.992012153525337,5.24403008062032,0.002868429815369944,0.08241760688583133,48,37,862,1409.1329908370972,15,,0.0,0.08241760688583133,8.992012153525337,128.0,54.0,False,False,low_priority
id_11,73.98410171804015,82.79202086226167,79.46399340716407,8.807919144221515,5.479891689123917,0.013260302126600912,0.020232451705469043,344,131,144,1382.1100025177002,29,,0.0,0.020232451705469043,8.807919144221515,129.0,54.0,False,False,low_priority
V228,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.016166291672771727,0.05391975351041656,54,26,29,1382.009804725647,18,,0.0,0.05391975351041656,8.953709841033302,130.0,54.0,False,False,low_priority
V233,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.010855940020322974,0.05179268821334526,52,40,333,1308.5506134033203,16,,0.0,0.05179268821334526,8.953709841033302,131.0,54.0,False,False,low_priority
V230,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.020866712098786655,0.06060516834223717,65,36,38,1279.2513008117676,28,,0.0,0.06060516834223717,8.953709841033302,132.0,54.0,False,False,low_priority
V40,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.03911958102655533,0.021068811564779244,16,14,16,1244.8717889785767,22,,0.0,0.03911958102655533,4.638853543246132,133.0,54.0,False,False,low_priority
V158,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021575748572438436,0.0819966314629576,17,7,25,1240.7962036132812,15,,0.0,0.0819966314629576,7.724004018920539,134.0,54.0,False,False,low_priority
V146,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021298615090876383,0.02708446352906213,18,8,25,1192.373230934143,13,,0.0,0.02708446352906213,7.724004018920539,135.0,54.0,False,False,low_priority
V231,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.010466008827060391,0.04928665396591769,52,37,294,1144.783166885376,9,,0.0,0.04928665396591769,8.953709841033302,136.0,54.0,False,False,low_priority
id_04,88.10604337918322,91.58848963095923,89.04279698806742,3.482446251776011,0.936753608884203,0.005334973805459101,0.002585633840914716,15,13,11,1106.7740306854248,32,,0.0,0.005334973805459101,3.482446251776011,137.0,54.0,False,False,low_priority
V60,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.03722020514450586,0.002970435076692146,13,10,17,1060.187707901001,11,,0.0,0.03722020514450586,7.472015120946607,138.0,54.0,False,False,low_priority
V155,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021400089455991644,0.08216554160590289,15,6,25,1046.8625020980835,5,,0.0,0.08216554160590289,7.724004018920539,139.0,54.0,False,False,low_priority
