split,policy,rows,fraud_total,fraud_rate,cost_total,cost_per_txn,fraud_approved,fraud_caught,fraud_detection_rate,fraud_miss_rate,legit_escalated,legit_escalation_rate,review_count,review_rate,escalate_count,escalate_rate,approve_count,approve_rate,automatic_coverage,review_threshold,escalate_threshold
valid,approve_all,88581,3042,0.03434145019812375,304200.0,3.4341450198123753,3042,0,0.0,1.0,0,0.0,0,0.0,0,0.0,88581,1.0,1.0,,
valid,review_top5_no_escalate,88581,3042,0.03434145019812375,118760.0,1.3406938282475926,1099,1943,0.6387245233399079,0.361275476660092,0,0.0,4430,0.05001072464749777,0,0.0,84151,0.9499892753525022,0.9499892753525022,0.566564032362874,
valid,escalate_top1_only,88581,3042,0.03434145019812375,225390.0,2.544450841602601,2245,797,0.26199868507560814,0.7380013149243918,89,0.0010404610762342324,0,0.0,886,0.010002144929499555,87695,0.9899978550705004,1.0,,0.9588074086735291
holdout,approve_all,88581,3083,0.03480430340592226,308300.0,3.480430340592226,3083,0,0.0,1.0,0,0.0,0,0.0,0,0.0,88581,1.0,1.0,,
holdout,review_top5_no_escalate,88581,3083,0.03480430340592226,135060.0,1.5247062011040742,1258,1825,0.5919558871229322,0.40804411287706777,0,0.0,4630,0.05226854517334417,0,0.0,83951,0.9477314548266559,0.9477314548266559,,
holdout,escalate_top1_only,88581,3083,0.03480430340592226,229950.0,2.595929149591899,2289,794,0.2575413558222511,0.742458644177749,105,0.0012280989028983134,0,0.0,899,0.01014890326367957,87682,0.9898510967363204,1.0,,
