split,rows,mean_pred,mean_pred_iso,fraud_rate
valid,8859,0.008109821477960556,0.0013617081744562655,0.0016931933626820183
valid,8858,0.018391787929127164,0.001476906552094522,0.0013547076089410702
valid,8858,0.028984346332668866,0.0021663761022620597,0.002483630616391962
valid,8858,0.04190061013460709,0.003673192701659501,0.003612553623842854
valid,8858,0.05804733360953439,0.004984825741796539,0.005080153533529013
valid,8858,0.07970624909247896,0.0059020395563113325,0.005757507337999549
valid,8858,0.11093761167246918,0.008741303818639764,0.008692707157371866
valid,8858,0.16358888047320072,0.01468451061775736,0.014901783698351772
valid,8858,0.2739860603666495,0.03493722229046494,0.035561074734703095
valid,8858,0.6197803667703422,0.26549013958475026,0.26428087604425377
holdout,8859,0.007813005531506207,0.001331873338487463,0.0027091093802912294
holdout,8858,0.01854225306882846,0.001476906552094522,0.003160984420862497
holdout,8858,0.02958394207099699,0.0022867125990197403,0.0032738767216075864
holdout,8858,0.041957817960391344,0.003663377568753563,0.0038383382253330323
holdout,8858,0.058198691712835524,0.004998854568270013,0.0056446150372544595
holdout,8858,0.08078449310240786,0.005936176625760367,0.007112214946940618
holdout,8858,0.11376584696965113,0.009060055288487216,0.010837660871528562
holdout,8858,0.1686422845110865,0.015272762791685948,0.021788214043802212
holdout,8858,0.28142251199140367,0.03654887383976846,0.04097990517046737
holdout,8858,0.6296916997985702,0.27421122882263543,0.24870173854143146
