block,known_before,reason,review_threshold,escalate_threshold
0,12547045.999999998,matured_last_30d,0.32365870160000004,0.6271726559999999
1,13151845.999999998,matured_last_30d,0.3260058767999999,0.6247962203999996
2,13756645.999999998,matured_last_30d,0.3222162988,0.6220205807999997
3,14361445.999999998,matured_last_30d,0.3231534491999996,0.6212641679999996
4,14966245.999999998,matured_last_30d,0.32372873879999997,0.6233972968
