variant,pr_auc_valid,pr_auc_holdout,quantile_low,quantile_high,rows_flag_changed_holdout
leaked_v01,0.55106,0.51656,-79.1975,247.5185,6
clean_temporal,0.55009,0.5191,-80.125,248.075,6
