uid_segment,rows,fraud_count,cost_total,cost_per_txn,reward_total,review_count,review_rate,escalate_count,approve_count,fraud_approved,fraud_referred,fraud_referred_rate,false_escalations_per_1000_legit,updates,update_cost_total
known,45684,1120,252019.069548,5.51657187522984,-252019.069548,1511,0.033075037212153054,1014,43159,403,717,0.6401785714285714,11.489094336235526,0,0.0
unknown,42897,1963,529080.867305,12.333749849756392,-529080.867305,3381,0.07881670046856423,2754,36762,543,1420,0.7233825776872135,37.939121512678945,0,0.0
