split,segment,rows,fraud_total,fraud_rate,cost_total,cost_per_txn,fraud_approved,fraud_caught,fraud_detection_rate,fraud_miss_rate,legit_escalated,legit_escalation_rate,review_count,review_rate,escalate_count,escalate_rate,approve_count,approve_rate,automatic_coverage
valid,global,88581,3042,0.03434145019812375,100936.0,1.1394768629841614,857,2185,0.7182774490466798,0.28172255095332016,641,0.007493657863664527,4413,0.049818809902800826,2083,0.02351520077669026,82085,0.9266659893205089,0.9501811900971991
valid,uid_known,40835,952,0.023313334149626545,30598.0,0.7493081915023877,279,673,0.7069327731092437,0.2930672268907563,80,0.0020058671614472333,949,0.02323986776049957,465,0.011387290314681034,39421,0.9653728419248194,0.9767601322395004
valid,uid_unknown,47746,2090,0.043773300381183766,70338.0,1.4731705273740208,578,1512,0.723444976076555,0.276555023923445,561,0.012287541615559838,3464,0.07255058015331127,1618,0.03388765551040925,42664,0.8935617643362794,0.9274494198466887
holdout,global,88581,3083,0.03480430340592226,121182.0,1.3680360348155924,1043,2040,0.6616931560168667,0.3383068439831333,785,0.009181501321668343,4516,0.05098158747361172,2195,0.024779580271164246,81870,0.9242388322552241,0.9490184125263883
holdout,uid_known,39512,764,0.01933589795505163,36206.0,0.916329216440575,340,424,0.5549738219895288,0.44502617801047123,76,0.001961391555693197,723,0.018298238509819802,332,0.008402510629682123,38457,0.9732992508604981,0.9817017614901802
holdout,uid_unknown,49069,2319,0.04725998084330229,84976.0,1.731765473109295,703,1616,0.696852091418715,0.30314790858128504,709,0.015165775401069519,3793,0.07729931321200759,1863,0.037966944506715034,43413,0.8847337422812774,0.9227006867879924
